100 2
-2.861401068073228 2.5750810141238603 1
-6.1168954867393825 1.407371738458611 0
8.994781941725218 -9.044477202387775 0
-2.099225905864637 3.97609276944978 1
0.5543449786240195 3.806569987080339 1
-8.318706033983014 -9.02157741936846 0
-6.407485849292744 9.375533450708723 1
9.39921718245104 9.30530670603273 1
3.653306974268629 0.19180352038004678 1
2.6445606489936875 3.780379510146643 1
-6.883284767698134 -9.035689948009196 0
0.5861478912170739 1.8034643121508225 1
3.783817793461708 6.894388973541751 1
5.517392795665909 -2.210643342979326 1
-5.574915205552539 0.6350686536066625 0
7.437404977818268 7.9083709362826795 1
7.242021407848821 8.196373535233722 1
-7.499956642895544 -4.016574697929636 0
-0.8277469308304077 3.4257526525176925 1
-8.238844963391436 -6.56657010442294 0
3.4589896109398914 -4.417032749896743 0
6.445952028384795 0.02569015222735338 1
5.587169222877641 4.638203460085286 1
3.2635496717614405 0.5964094065839092 1
4.752590861484991 8.503863224805393 1
1.6855834738660587 6.105560929232475 1
-3.9934568106145285 -9.357407376717388 0
3.688139784929019 -2.6796747794305364 0
-0.8307279838609389 0.20567097159361047 1
2.8350405900301627 4.113773699303266 1
4.819345416186504 -3.8343724027044264 0
-8.02704557808893 6.09216718309553 1
-8.31453857881401 5.691644805655065 1
-6.361479855126544 -6.448119858733852 0
8.152484641279287 -4.2906084016010855 1
-5.53883104144891 -1.1113732101798828 0
5.221203780546887 2.8641230415036247 1
-4.858785970479653 6.504508682871158 1
1.9056889510887345 -0.15639844329543706 1
-5.454248818614598 7.120262222434153 1
3.65397078139274 -0.3089943543330058 1
9.518067032921902 5.474628765981709 1
1.7654702529329391 7.573702300890336 1
-0.12578838429505979 -7.599507523852691 0
-2.0288455151690687 6.031526781150273 1
-4.512330249137058 -9.240350068567837 0
-3.885716839385003 5.439433971737168 1
5.258925298108569 -4.922943738240586 0
-7.147077426354079 -8.155150438132718 0
2.332700559724719 -8.636850474229918 0
4.814305629967732 -4.061826763336091 0
-7.705314200755797 -3.0536963531344234 0
-1.7539919765368381 -4.468054252379163 0
4.857735913186003 -1.2931363559424227 1
4.522228634278452 -5.771719833457998 0
-0.9480771978123279 -6.7482763220999065 0
9.889232303800743 1.2083356320101153 1
-7.508847715518192 4.233589759571766 1
8.486013451930013 1.7598673125940518 1
-3.8093279017613524 -4.651116029306541 0
9.687066266189547 -6.223429815383426 0
1.7498065001652492 0.05980634126782469 1
8.437599839478157 -8.906349546053463 0
-2.4361298794374058 -1.6715686929670532 0
8.100731236370994 8.485422625079948 1
4.54114047265354 -6.421535349963188 0
2.1598749756280746 -4.436077133468519 0
-0.1516230030566348 5.948483282635884 1
0.6859323964292958 1.4620205685358378 1
-3.5182672396355352 -6.030923877516033 0
1.2708667506270679 -1.1484529436994215 0
7.532619322513469 9.071188658356046 1
2.678268123978153 5.702077138700082 1
-3.897350649590874 2.433474239370522 1
4.466898589460866 -4.550473455649506 0
1.01227044665686 -1.1024618104132866 0
-2.074728883510679 9.511571273000069 1
-9.726830756464107 1.0488529650099938 0
-2.002433766304317 -9.359662044567163 0
-0.7878819295450707 8.895384246843985 1
-8.37260032385309 2.17680653649702 0
-5.568377742818984 0.6670712321532903 0
-5.483627671200571 9.921906888688895 1
9.970625740747046 -1.9867520894868989 1
-4.558533569255394 -2.705347492692174 0
-0.010450946352683843 6.2016759402265045 1
4.106316837909098 3.431880958225481 1
-2.229348983913373 -5.243525666857122 0
-3.7984484943275927 5.38035685814342 1
0.4591471080301943 -5.452697733811334 0
4.87996993837919 8.169582313124938 1
2.7759181566386832 -9.567583682805951 0
-9.240540648814527 -2.9108644642596104 0
-1.6061218676586186 1.6265688474806836 1
1.0486386708238005 -6.344127824590469 0
-9.447747449702518 -5.041127020932534 0
-5.029168982729799 7.571604227486535 1
-8.897552908985576 -0.6365847057036795 0
0.3699458372298068 -9.032964684133733 0
0.7085300070701059 -0.518764793776878 1
